Date,Open,High,Low,Close,Volume,Range,%K(Fast)(14),"%D(Fast)(14,3)","VWMA(C,20)",%K(Fast)(9),"%D(Fast)(9,3)",%K(Fast)(40),"%D(Fast)(40,4)","%K(Full)(60,10)","%D(Full)(60,10,10)",ATR(14)
31/12/2024 06:22:00,5977.5,5978.25,5976.75,5976.75,356,1.5,72.7,80.4,5975.4,53.8,66.1,80,75.8,66.1,59.3,1.482
31/12/2024 06:23:00,5977,5977.75,5976,5977.75,251,1.75,90.9,85.6,5975.58,84.6,75.4,94.1,83.1,68.3,60.9,1.5
31/12/2024 06:24:00,5977.75,5978,5977.25,5977.5,273,0.75,78.6,82.1,5975.85,76.9,76.1,91.2,86.3,69.6,62.5,1.357
31/12/2024 06:25:00,5977.75,5978.5,5976.5,5977.5,772,2,71.4,76.8,5976.24,71.4,73.8,88.6,87.2,70.7,64,1.411
31/12/2024 06:26:00,5977.5,5977.5,5976.5,5976.75,561,1,50,63.4,5976.38,50,61.9,80,84.3,70.3,65.1,1.375
31/12/2024 06:27:00,5976.75,5977.25,5974,5974.25,1062,3.25,5.6,34.5,5976.21,5.6,33.7,51.4,71.2,65.5,65.2,1.536
31/12/2024 06:28:00,5974.5,5975,5974,5974.25,725,1,5.6,20,5976.11,5.6,19.6,51.4,63.3,61.5,64.5,1.429
31/12/2024 06:29:00,5974.5,5975,5972.25,5972.25,1814,2.75,,10,5975.56,,9.8,28.6,49.4,54.8,62.8,1.554
31/12/2024 06:30:00,5972.5,5976.5,5968.25,5976.25,8895,8.25,78,44,5975.89,78,43.9,78,60.9,57.2,61.8,2.054
31/12/2024 06:31:00,5976.5,5977,5972.75,5973,6097,4.25,46.3,45.2,5975.21,46.3,45.1,46.3,55.1,54.2,60.4,2.25
31/12/2024 06:32:00,5972.75,5976.5,5970.25,5970.5,4887,6.25,22,33.6,5974.43,22,33.5,22,41.8,47.8,58.1,2.643
31/12/2024 06:33:00,5970.25,5980,5970.25,5979.5,5068,9.75,95.7,64.7,5975.13,95.7,64.6,95.7,63.4,56.5,57.8,3.232
31/12/2024 06:34:00,5979.25,5980,5974.25,5974.25,5213,5.75,51.1,57.9,5974.99,51.1,57.9,51.1,58.5,55.5,57.4,3.5
31/12/2024 06:35:00,5974.25,5976.5,5973.25,5974.75,3622,3.25,55.3,56.6,5974.96,55.3,56.6,55.3,57.2,55.5,57,3.679
31/12/2024 06:36:00,5974.75,5975.75,5971.25,5972.25,2573,4.5,34,45.3,5974.78,34,45.3,34,47.9,51.6,56,3.893
31/12/2024 06:37:00,5972.5,5974.5,5970.5,5970.75,3215,4,21.3,33.3,5974.5,21.3,33.3,21.3,37.3,46.1,54.2,4.054
31/12/2024 06:38:00,5970.5,5971,5963.5,5966,6146,7.5,15.2,24.2,5973.51,15.2,24.2,15.2,28.4,40.5,51.7,4.536
